country,inv_month,value,times_viewed,customers
Belgium,2017-12-01,277.15000000000003,131,1.0
Belgium,2018-01-01,1451.3100000000006,687,3.0
Belgium,2018-02-01,1414.15,546,2.0
Belgium,2018-03-01,767.8700000000002,416,2.0
Belgium,2018-04-01,1669.3100000000002,889,4.0
Belgium,2018-05-01,475.21999999999997,254,3.0
Belgium,2018-06-01,2421.9299999999985,861,4.0
Belgium,2018-07-01,1718.7600000000004,1066,7.0
Belgium,2018-08-01,1172.73,626,3.0
Belgium,2018-09-01,849.5900000000001,446,4.0
Belgium,2018-10-01,1228.14,519,4.0
Belgium,2018-11-01,4297.200000000001,2207,9.0
Belgium,2018-12-01,1088.16,817,4.0
Belgium,2019-01-01,1090.69,513,5.0
Belgium,2019-02-01,2572.9700000000016,1180,9.0
Belgium,2019-03-01,1871.3600000000001,1036,7.0
Belgium,2019-04-01,1721.3099999999997,973,7.0
Belgium,2019-05-01,2080.039999999999,1223,7.0
Belgium,2019-06-01,3524.760000000001,1787,10.0
Belgium,2019-07-01,2531.410000000001,1270,6.0
Bermuda,2018-03-01,704.1400000000001,361,
Brazil,2018-09-01,265.3299999999999,175,1.0
Brazil,2019-04-01,904.0000000000001,258,1.0
Canada,2018-10-01,737.5099999999999,561,1.0
Canada,2018-11-01,373.82,209,1.0
Canada,2019-03-01,137.94,84,1.0
Canada,2019-05-01,14.84,14,1.0
Canada,2019-06-01,881.74,505,1.0
Canada,2019-07-01,1087.3999999999996,748,1.0
Channel Islands,2017-12-01,925.67,341,1.0
Channel Islands,2018-01-01,826.1000000000001,172,1.0
Channel Islands,2018-03-01,215.66000000000003,167,1.0
Channel Islands,2018-04-01,903.8300000000003,320,1.0
Channel Islands,2018-05-01,4948.339999999997,1554,4.0
Channel Islands,2018-06-01,157.2,92,1.0
Channel Islands,2018-07-01,10.5,8,1.0
Channel Islands,2018-08-01,897.2900000000001,373,2.0
Channel Islands,2018-09-01,4946.919999999995,2397,6.0
Channel Islands,2018-10-01,1724.4299999999998,314,6.0
Channel Islands,2018-11-01,1992.770000000001,864,3.0
Channel Islands,2018-12-01,579.5599999999998,120,1.0
Channel Islands,2019-01-01,669.61,208,1.0
Channel Islands,2019-02-01,1004.3600000000001,418,2.0
Channel Islands,2019-03-01,2332.61,1183,2.0
Channel Islands,2019-04-01,235.2,84,1.0
Channel Islands,2019-05-01,895.7600000000001,162,1.0
Channel Islands,2019-06-01,1879.120000000001,731,1.0
Channel Islands,2019-07-01,662.82,146,1.0
Cyprus,2017-12-01,3404.8499999999995,1188,3.0
Cyprus,2018-01-01,76.52000000000001,32,1.0
Cyprus,2018-02-01,738.7899999999998,288,1.0
Cyprus,2018-03-01,1740.4699999999996,495,5.0
Cyprus,2018-04-01,1017.25,376,2.0
Cyprus,2018-05-01,580.2099999999999,151,1.0
Cyprus,2018-06-01,489.79999999999995,100,1.0
Cyprus,2018-08-01,394.3799999999997,129,1.0
Cyprus,2018-09-01,486.7899999999999,234,2.0
Cyprus,2018-10-01,551.3299999999999,253,1.0
Cyprus,2018-11-01,143.85,33,1.0
Cyprus,2018-12-01,1150.25,570,1.0
Cyprus,2019-01-01,536.1600000000001,117,1.0
Cyprus,2019-02-01,3093.6499999999996,1062,4.0
Cyprus,2019-03-01,731.9899999999998,416,1.0
Cyprus,2019-04-01,0.0,0,1.0
Cyprus,2019-05-01,1090.6399999999999,334,1.0
Czech Republic,2019-02-01,306.46,160,1.0
Czech Republic,2019-03-01,8.78,6,1.0
Denmark,2017-11-01,31.5,15,1.0
Denmark,2017-12-01,214.21,59,1.0
Denmark,2018-01-01,743.46,508,2.0
Denmark,2018-02-01,125.69999999999999,423,1.0
Denmark,2018-03-01,423.0199999999999,268,2.0
Denmark,2018-04-01,229.38,109,1.0
Denmark,2018-06-01,1591.8300000000006,981,3.0
Denmark,2018-07-01,96.0,28,1.0
Denmark,2018-08-01,1532.8099999999997,695,3.0
Denmark,2018-09-01,736.06,435,2.0
Denmark,2018-10-01,424.78000000000003,239,3.0
Denmark,2018-11-01,1971.12,632,2.0
Denmark,2018-12-01,1551.5700000000002,434,1.0
Denmark,2019-02-01,347.6799999999999,185,1.0
Denmark,2019-03-01,1287.9500000000003,189,1.0
Denmark,2019-05-01,292.52,197,1.0
Denmark,2019-06-01,2503.190000000001,1094,3.0
Denmark,2019-07-01,309.99000000000007,195,1.0
EIRE,2017-11-01,2086.77,736,2.0
EIRE,2017-12-01,9631.989999999993,3528,2.0
EIRE,2018-01-01,15490.810000000029,6078,3.0
EIRE,2018-02-01,10647.28,4393,2.0
EIRE,2018-03-01,10796.050000000007,4440,3.0
EIRE,2018-04-01,13487.55000000003,6012,3.0
EIRE,2018-05-01,16848.380000000012,6789,2.0
EIRE,2018-06-01,13034.640000000009,4830,2.0
EIRE,2018-07-01,14250.120000000003,5891,3.0
EIRE,2018-08-01,11159.010000000015,5050,3.0
EIRE,2018-09-01,25232.350000000064,11065,2.0
EIRE,2018-10-01,29273.549999999996,10848,2.0
EIRE,2018-11-01,24274.02000000009,10176,3.0
EIRE,2018-12-01,7683.849999999994,2655,2.0
EIRE,2019-01-01,5533.129999999996,2226,2.0
EIRE,2019-02-01,7265.299999999994,2678,2.0
EIRE,2019-03-01,12125.570000000014,5253,3.0
EIRE,2019-04-01,4841.179999999996,2376,2.0
EIRE,2019-05-01,11471.57,4278,3.0
EIRE,2019-06-01,12903.559999999994,5825,3.0
EIRE,2019-07-01,13599.129999999994,6231,3.0
European Community,2019-04-01,155.4,32,1.0
European Community,2019-06-01,391.2999999999999,128,1.0
European Community,2019-07-01,580.3499999999999,292,1.0
Finland,2017-12-01,107.67,29,1.0
Finland,2018-01-01,734.3300000000002,255,1.0
Finland,2018-04-01,1151.33,607,2.0
Finland,2018-05-01,842.61,352,2.0
Finland,2018-06-01,486.9400000000001,180,1.0
Finland,2018-07-01,342.45,217,2.0
Finland,2018-09-01,1079.0699999999997,771,3.0
Finland,2018-10-01,606.14,260,2.0
Finland,2018-11-01,268.26000000000005,160,1.0
Finland,2018-12-01,117.58000000000001,191,1.0
Finland,2019-01-01,156.19000000000003,81,2.0
Finland,2019-02-01,4162.099999999997,1835,2.0
Finland,2019-03-01,367.6700000000001,161,1.0
Finland,2019-04-01,593.8100000000001,321,4.0
Finland,2019-06-01,248.96000000000004,128,1.0
Finland,2019-07-01,1950.2299999999993,805,3.0
France,2017-11-01,1465.0700000000006,690,7.0
France,2017-12-01,3511.850000000001,1791,10.0
France,2018-01-01,5878.719999999998,3368,7.0
France,2018-02-01,8664.82999999999,4345,15.0
France,2018-03-01,4698.909999999997,2483,11.0
France,2018-04-01,3907.2299999999996,1969,7.0
France,2018-05-01,8409.349999999999,4491,17.0
France,2018-06-01,6383.06,3676,16.0
France,2018-07-01,5242.240000000001,2675,13.0
France,2018-08-01,5227.329999999996,3051,15.0
France,2018-09-01,8490.170000000004,4444,16.0
France,2018-10-01,8956.079999999998,5155,20.0
France,2018-11-01,14813.920000000016,7903,25.0
France,2018-12-01,9909.499999999995,4835,13.0
France,2019-01-01,12980.240000000003,6214,25.0
France,2019-02-01,7086.18,4218,18.0
France,2019-03-01,7366.109999999999,3907,19.0
France,2019-04-01,3924.329999999999,1942,14.0
France,2019-05-01,11274.999999999998,5712,26.0
France,2019-06-01,10813.109999999997,5546,27.0
France,2019-07-01,7008.66,3693,19.0
Germany,2017-11-01,729.2200000000003,368,3.0
Germany,2017-12-01,7135.1799999999985,3220,10.0
Germany,2018-01-01,10203.310000000009,5328,17.0
Germany,2018-02-01,6761.369999999994,3509,18.0
Germany,2018-03-01,11817.33,5775,20.0
Germany,2018-04-01,11984.809999999992,5904,22.0
Germany,2018-05-01,7134.7900000000045,3069,18.0
Germany,2018-06-01,14997.21000000001,7702,19.0
Germany,2018-07-01,9664.17,5370,25.0
Germany,2018-08-01,7423.349999999996,3860,18.0
Germany,2018-09-01,12488.259999999995,6183,22.0
Germany,2018-10-01,16485.970000000023,8257,31.0
Germany,2018-11-01,18499.729999999996,8338,29.0
Germany,2018-12-01,13219.339999999986,5969,19.0
Germany,2019-01-01,14065.710000000006,6997,32.0
Germany,2019-02-01,6139.589999999999,2655,17.0
Germany,2019-03-01,8863.619999999994,4650,24.0
Germany,2019-04-01,8819.009999999997,4168,23.0
Germany,2019-05-01,15952.929999999991,7761,29.0
Germany,2019-06-01,7887.280000000005,3948,22.0
Germany,2019-07-01,14483.959999999988,7943,30.0
Greece,2017-12-01,581.92,397,1.0
Greece,2018-01-01,3405.4,1047,2.0
Greece,2018-03-01,396.28,130,1.0
Greece,2018-04-01,227.93,93,1.0
Greece,2018-05-01,1819.49,497,2.0
Greece,2018-06-01,172.8,60,1.0
Greece,2018-08-01,451.88000000000005,312,1.0
Greece,2018-09-01,432.62,80,1.0
Greece,2018-10-01,2884.2799999999997,1395,1.0
Greece,2018-11-01,657.7899999999998,303,1.0
Greece,2019-01-01,1552.46,260,1.0
Greece,2019-03-01,307.62999999999994,215,1.0
Greece,2019-04-01,509.74,260,1.0
Greece,2019-07-01,314.5300000000001,229,1.0
Hong Kong,2018-04-01,931.6499999999997,518,
Hong Kong,2018-06-01,594.5,272,
Hong Kong,2019-01-01,1449.7800000000004,540,
Hong Kong,2019-04-01,862.9000000000001,291,
Hong Kong,2019-05-01,1564.430000000001,855,
Hong Kong,2019-06-01,352.49,149,
Iceland,2018-10-01,563.27,440,1.0
Iceland,2018-12-01,1309.93,541,1.0
Iceland,2019-01-01,437.89000000000004,261,1.0
Iceland,2019-04-01,385.02,215,1.0
Iceland,2019-06-01,318.22,152,1.0
Iceland,2019-07-01,507.61000000000007,239,1.0
Israel,2018-06-01,1136.94,416,1.0
Israel,2018-11-01,908.3700000000001,293,1.0
Israel,2018-12-01,3.81,1,1.0
Israel,2019-01-01,368.01000000000005,93,
Israel,2019-02-01,613.55,199,1.0
Israel,2019-03-01,110.0,30,
Israel,2019-07-01,813.77,365,1.0
Italy,2017-12-01,448.3999999999999,132,2.0
Italy,2018-02-01,119.14,98,1.0
Italy,2018-03-01,540.1299999999998,351,1.0
Italy,2018-04-01,1199.6599999999999,509,2.0
Italy,2018-05-01,1685.5400000000002,687,2.0
Italy,2018-06-01,232.45,133,2.0
Italy,2018-09-01,825.4500000000003,546,2.0
Italy,2018-10-01,4670.5599999999995,1976,9.0
Italy,2018-11-01,2502.0700000000006,854,7.0
Italy,2018-12-01,296.20000000000005,102,2.0
Italy,2019-01-01,1952.0200000000011,983,3.0
Italy,2019-02-01,228.00000000000003,110,1.0
Italy,2019-03-01,1683.31,661,3.0
Italy,2019-04-01,414.43999999999994,260,2.0
Italy,2019-05-01,490.62,205,1.0
Italy,2019-06-01,230.82000000000002,60,2.0
Italy,2019-07-01,147.1,22,1.0
Japan,2017-11-01,8.25,3,1.0
Japan,2018-01-01,135.94,57,2.0
Japan,2018-02-01,114.11999999999999,61,1.0
Japan,2018-03-01,125.85000000000001,55,1.0
Japan,2018-04-01,5.5,2,1.0
Japan,2018-06-01,505.1000000000001,333,3.0
Japan,2018-07-01,671.65,359,2.0
Japan,2018-09-01,549.52,189,1.0
Japan,2018-10-01,98.37000000000003,207,1.0
Japan,2018-11-01,61.25,19,2.0
Japan,2018-12-01,1510.5000000000002,874,3.0
Japan,2019-01-01,14.3,8,1.0
Japan,2019-02-01,1643.0699999999995,680,2.0
Japan,2019-03-01,33.60000000000001,15,2.0
Japan,2019-04-01,1085.4099999999999,536,3.0
Japan,2019-05-01,337.0199999999999,129,1.0
Japan,2019-06-01,75.21000000000001,108,1.0
Japan,2019-07-01,772.42,440,2.0
Korea,2018-09-01,159.19,77,1.0
Korea,2018-10-01,54.19000000000001,19,1.0
Korea,2018-11-01,684.86,381,1.0
Lebanon,2018-09-01,211.69999999999996,72,
Lebanon,2019-01-01,1686.1799999999996,372,1.0
Lithuania,2018-07-01,1599.61,793,1.0
Lithuania,2018-11-01,1040.0499999999997,412,1.0
Lithuania,2018-12-01,2229.44,777,1.0
Malta,2018-01-01,572.0899999999998,320,1.0
Malta,2018-08-01,1856.0599999999993,932,1.0
Malta,2019-06-01,705.44,366,1.0
Netherlands,2017-11-01,501.59,240,1.0
Netherlands,2017-12-01,1987.6600000000005,946,2.0
Netherlands,2018-01-01,2883.24,1601,4.0
Netherlands,2018-02-01,2219.11,1026,1.0
Netherlands,2018-03-01,4830.609999999998,2259,4.0
Netherlands,2018-04-01,2002.920000000001,1225,8.0
Netherlands,2018-05-01,7254.139999999993,3679,5.0
Netherlands,2018-06-01,3241.4699999999984,1518,5.0
Netherlands,2018-07-01,2645.73,1320,6.0
Netherlands,2018-08-01,7248.509999999993,3728,7.0
Netherlands,2018-09-01,6360.389999999993,3108,5.0
Netherlands,2018-10-01,4598.29,2436,4.0
Netherlands,2018-11-01,5888.1399999999885,3128,7.0
Netherlands,2018-12-01,1050.35,570,1.0
Netherlands,2019-01-01,4772.4,2669,3.0
Netherlands,2019-02-01,3679.97,2072,1.0
Netherlands,2019-03-01,5045.689999999997,2229,4.0
Netherlands,2019-04-01,583.6299999999999,334,1.0
Netherlands,2019-05-01,6430.7199999999975,2716,4.0
Netherlands,2019-06-01,5084.090000000001,2580,4.0
Netherlands,2019-07-01,11.02,9,1.0
Nigeria,2017-11-01,22.1,6,
Nigeria,2018-08-01,91.88999999999999,54,1.0
Norway,2017-12-01,356.7600000000001,172,1.0
Norway,2018-08-01,36.0,120,1.0
Norway,2018-09-01,904.3999999999999,498,1.0
Norway,2018-10-01,798.1700000000001,432,1.0
Norway,2018-11-01,3985.9399999999964,2678,2.0
Norway,2018-12-01,2335.270000000001,1718,1.0
Norway,2019-01-01,276.55,175,1.0
Norway,2019-02-01,400.84999999999997,123,1.0
Norway,2019-03-01,273.36999999999995,139,1.0
Norway,2019-06-01,4444.280000000001,1355,2.0
Norway,2019-07-01,701.2099999999999,441,1.0
Poland,2017-11-01,294.0200000000001,206,1.0
Poland,2018-02-01,269.80999999999995,157,1.0
Poland,2018-06-01,719.9399999999998,350,2.0
Poland,2018-07-01,44.8,8,1.0
Poland,2018-08-01,381.2900000000001,213,1.0
Poland,2018-09-01,257.48,159,2.0
Poland,2018-11-01,1069.7300000000002,635,2.0
Poland,2019-01-01,503.79,192,1.0
Poland,2019-02-01,479.25000000000006,265,2.0
Poland,2019-03-01,221.67,93,1.0
Poland,2019-04-01,473.67,231,1.0
Poland,2019-05-01,1339.3699999999997,526,3.0
Poland,2019-06-01,238.64999999999998,75,1.0
Poland,2019-07-01,857.0899999999998,356,3.0
Portugal,2017-11-01,1680.4700000000005,771,1.0
Portugal,2017-12-01,277.75000000000006,119,1.0
Portugal,2018-01-01,344.38999999999993,190,1.0
Portugal,2018-02-01,559.5700000000002,235,3.0
Portugal,2018-03-01,1366.3,678,2.0
Portugal,2018-04-01,35.83,19,1.0
Portugal,2018-05-01,542.0000000000001,173,2.0
Portugal,2018-06-01,2437.9100000000008,1160,5.0
Portugal,2018-07-01,232.09999999999997,70,1.0
Portugal,2018-08-01,568.8700000000001,281,3.0
Portugal,2018-09-01,2069.42,1134,4.0
Portugal,2018-10-01,2468.87,1635,7.0
Portugal,2018-11-01,3231.08,1227,5.0
Portugal,2018-12-01,3190.3099999999986,1404,5.0
Portugal,2019-01-01,2479.769999999999,1135,4.0
Portugal,2019-02-01,955.0699999999999,443,2.0
Portugal,2019-03-01,1962.7300000000007,1057,4.0
Portugal,2019-04-01,1493.2700000000007,688,2.0
Portugal,2019-05-01,589.23,295,1.0
Portugal,2019-06-01,799.4599999999999,388,3.0
Portugal,2019-07-01,1594.359999999999,940,3.0
RSA,2018-01-01,923.6299999999998,579,1.0
RSA,2018-10-01,420.19,226,
Saudi Arabia,2019-02-01,148.86999999999998,81,1.0
Singapore,2018-04-01,987.95,299,1.0
Singapore,2018-09-01,1745.8699999999997,811,1.0
Singapore,2019-01-01,1444.45,562,1.0
Singapore,2019-04-01,1267.6300000000003,539,1.0
Singapore,2019-07-01,2358.3900000000003,817,1.0
Spain,2017-11-01,4.2,2,1.0
Spain,2017-12-01,5602.810000000001,2181,4.0
Spain,2018-01-01,2075.6900000000005,1043,3.0
Spain,2018-02-01,371.15000000000003,173,2.0
Spain,2018-03-01,967.33,613,4.0
Spain,2018-04-01,580.5300000000001,275,3.0
Spain,2018-05-01,1209.1500000000003,625,3.0
Spain,2018-06-01,618.6299999999999,280,2.0
Spain,2018-07-01,830.2300000000002,498,3.0
Spain,2018-08-01,1012.84,502,4.0
Spain,2018-09-01,3157.88,1774,8.0
Spain,2018-10-01,2634.349999999997,1341,7.0
Spain,2018-11-01,1706.41,693,7.0
Spain,2018-12-01,1079.5299999999997,404,3.0
Spain,2019-01-01,6763.919999999998,2751,8.0
Spain,2019-02-01,908.1900000000002,427,2.0
Spain,2019-03-01,3793.7000000000003,1676,9.0
Spain,2019-04-01,1441.4300000000005,718,3.0
Spain,2019-05-01,2297.19,1048,4.0
Spain,2019-06-01,2338.78,1145,7.0
Spain,2019-07-01,2366.880000000001,1160,7.0
Sweden,2017-12-01,30.049999999999997,17,1.0
Sweden,2018-01-01,416.80000000000007,195,2.0
Sweden,2018-02-01,1348.6599999999999,884,3.0
Sweden,2018-03-01,1237.9100000000003,606,4.0
Sweden,2018-04-01,2389.6100000000006,1693,3.0
Sweden,2018-05-01,356.88,326,1.0
Sweden,2018-06-01,789.64,402,2.0
Sweden,2018-07-01,1028.74,483,2.0
Sweden,2018-08-01,2178.2200000000003,1437,3.0
Sweden,2018-09-01,979.2800000000001,604,4.0
Sweden,2018-10-01,2807.449999999997,1711,6.0
Sweden,2018-11-01,1046.8400000000001,469,4.0
Sweden,2018-12-01,335.84,281,1.0
Sweden,2019-01-01,901.6900000000002,442,3.0
Sweden,2019-03-01,508.28,357,2.0
Sweden,2019-04-01,603.6,272,2.0
Sweden,2019-05-01,403.28,207,3.0
Sweden,2019-06-01,505.83,254,2.0
Sweden,2019-07-01,965.1299999999994,580,2.0
Switzerland,2017-12-01,243.57000000000002,113,1.0
Switzerland,2018-02-01,295.22999999999996,209,1.0
Switzerland,2018-03-01,814.56,425,2.0
Switzerland,2018-04-01,1364.1900000000005,810,3.0
Switzerland,2018-05-01,5577.37,2263,5.0
Switzerland,2018-06-01,2199.590000000001,1270,3.0
Switzerland,2018-07-01,241.61000000000004,125,2.0
Switzerland,2018-08-01,2611.4500000000003,1280,4.0
Switzerland,2018-09-01,757.2499999999999,277,2.0
Switzerland,2018-10-01,4872.059999999999,2251,8.0
Switzerland,2018-11-01,6057.98,2210,5.0
Switzerland,2018-12-01,825.5099999999996,418,1.0
Switzerland,2019-01-01,2475.9399999999996,1518,3.0
Switzerland,2019-02-01,1905.530000000001,792,4.0
Switzerland,2019-03-01,1073.8999999999999,535,3.0
Switzerland,2019-04-01,1427.0899999999995,548,3.0
Switzerland,2019-05-01,2729.2900000000013,1479,3.0
Switzerland,2019-06-01,3635.42,1443,5.0
Switzerland,2019-07-01,5951.849999999999,2945,8.0
Thailand,2018-06-01,156.46999999999997,108,1.0
Thailand,2018-07-01,1068.7000000000003,488,1.0
USA,2018-01-01,1612.24,721,2.0
USA,2018-05-01,269.21999999999997,195,1.0
USA,2018-06-01,475.85000000000014,381,2.0
USA,2018-07-01,507.24999999999994,133,1.0
USA,2018-09-01,77.0,8,1.0
USA,2018-10-01,113.06000000000002,82,1.0
USA,2018-11-01,381.7100000000001,198,2.0
USA,2019-04-01,365.25,115,1.0
United Arab Emirates,2017-12-01,370.00999999999993,280,1.0
United Arab Emirates,2018-02-01,2021.5600000000009,1279,1.0
United Arab Emirates,2018-03-01,951.4800000000004,641,1.0
United Arab Emirates,2018-04-01,6.6,4,1.0
United Arab Emirates,2018-08-01,1736.7800000000009,1048,1.0
United Arab Emirates,2018-10-01,262.66999999999996,137,1.0
United Arab Emirates,2018-11-01,1413.2699999999993,368,1.0
United Arab Emirates,2019-02-01,697.2400000000001,310,1.0
United Kingdom,2017-11-01,106467.29999999815,41783,292.0
United Kingdom,2017-12-01,391437.03000001545,149780,823.0
United Kingdom,2018-01-01,363286.930000015,153322,752.0
United Kingdom,2018-02-01,324933.31000000995,138785,756.0
United Kingdom,2018-03-01,425095.60000000894,179748,976.0
United Kingdom,2018-04-01,375812.7900000058,160111,897.0
United Kingdom,2018-05-01,412617.9100000123,178593,1044.0
United Kingdom,2018-06-01,407427.86000001046,177966,987.0
United Kingdom,2018-07-01,379592.8800000076,164349,919.0
United Kingdom,2018-08-01,373822.74000000657,166894,902.0
United Kingdom,2018-09-01,464877.45000002097,214045,1067.0
United Kingdom,2018-10-01,670667.9399999874,296471,1461.0
United Kingdom,2018-11-01,922140.0199998991,374304,1558.0
United Kingdom,2018-12-01,545350.249999992,196101,739.0
United Kingdom,2019-01-01,376994.66000002954,162614,763.0
United Kingdom,2019-02-01,296218.5500000147,124211,713.0
United Kingdom,2019-03-01,370632.22000001895,159425,886.0
United Kingdom,2019-04-01,321130.20000001014,145152,807.0
United Kingdom,2019-05-01,443746.4800000205,186104,1007.0
United Kingdom,2019-06-01,348683.48000001255,156855,900.0
United Kingdom,2019-07-01,412828.7400000219,193260,922.0
Unspecified,2018-01-01,1025.95,367,2.0
Unspecified,2018-04-01,202.93,86,1.0
Unspecified,2018-07-01,1747.4499999999996,853,1.0
Unspecified,2018-08-01,563.9299999999997,197,2.0
Unspecified,2018-09-01,1224.7500000000002,609,1.0
Unspecified,2018-11-01,493.97,244,1.0
Unspecified,2019-04-01,211.60000000000005,170,1.0
Unspecified,2019-05-01,948.03,601,1.0
Unspecified,2019-06-01,169.04000000000002,51,1.0
Unspecified,2019-07-01,1317.8400000000004,829,2.0
West Indies,2018-08-01,482.35,313,1.0
