country,inv_month,value,times_viewed,customers
Japan,2019-08-01,45.25,17,1.0
Japan,2019-09-01,17.38,25,1.0
Japan,2019-10-01,234.89999999999998,142,2.0
Japan,2019-11-01,1107.28,370,2.0
Japan,2019-12-01,37.22,14,1.0
Malta,2019-08-01,1053.93,363,2.0
Malta,2019-11-01,274.78999999999996,114,1.0
Netherlands,2019-08-01,6483.870000000003,3384,1.0
Netherlands,2019-09-01,6759.970000000002,2889,2.0
Netherlands,2019-10-01,7129.769999999996,3320,4.0
Netherlands,2019-11-01,4158.370000000002,1791,4.0
Netherlands,2019-12-01,2341.519999999999,1063,1.0
Norway,2019-08-01,1904.32,740,3.0
Norway,2019-09-01,4441.800000000002,1922,4.0
Norway,2019-10-01,2791.9999999999995,1148,5.0
Norway,2019-11-01,3991.960000000002,1608,4.0
Norway,2019-12-01,1228.4999999999995,668,2.0
Poland,2019-08-01,42.96,24,1.0
Poland,2019-09-01,457.65,230,2.0
Poland,2019-10-01,791.4100000000001,381,1.0
Poland,2019-11-01,368.67,261,2.0
Portugal,2019-08-01,1000.6500000000001,701,2.0
Portugal,2019-09-01,834.5100000000002,479,2.0
Portugal,2019-10-01,4854.990000000004,2667,6.0
Portugal,2019-11-01,2718.2199999999993,1381,6.0
Portugal,2019-12-01,969.1000000000001,438,4.0
RSA,2019-10-01,1002.3099999999998,351,1.0
Singapore,2019-10-01,812.5699999999999,256,1.0
Spain,2019-08-01,2637.850000000001,1283,6.0
Spain,2019-09-01,3931.4599999999978,2020,7.0
Spain,2019-10-01,5755.249999999992,2634,8.0
Spain,2019-11-01,4573.86,2051,12.0
Spain,2019-12-01,313.75999999999993,259,3.0
Sweden,2019-08-01,790.8600000000002,451,6.0
Sweden,2019-09-01,318.84000000000003,258,2.0
Sweden,2019-10-01,670.49,470,2.0
Sweden,2019-11-01,1064.0600000000002,734,5.0
Sweden,2019-12-01,59.5,10,1.0
Switzerland,2019-08-01,844.82,334,4.0
Switzerland,2019-09-01,3630.2199999999984,1839,5.0
Switzerland,2019-10-01,5866.039999999992,3202,6.0
Switzerland,2019-11-01,5349.9400000000005,2183,4.0
USA,2019-10-01,2242.2200000000003,1376,2.0
USA,2019-11-01,155.54000000000002,120,1.0
USA,2019-12-01,459.52,260,2.0
United Arab Emirates,2019-08-01,917.3099999999998,358,1.0
United Kingdom,2019-08-01,365377.5200000159,168946,846.0
United Kingdom,2019-09-01,550877.5200000354,256585,1170.0
United Kingdom,2019-10-01,639785.240000042,293038,1377.0
United Kingdom,2019-11-01,835007.6700000344,367538,1523.0
United Kingdom,2019-12-01,198744.25000000175,85668,451.0
Unspecified,2019-08-01,727.4400000000002,361,2.0
Unspecified,2019-11-01,895.97,519,
